status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,other_debtors,present_residence,property,other_installment_plans,housing,number_credits,job,people_liable,telephone,instance_index,original_test_index,CF_number,distance
1.0,24.0,2.0,1.0,2511.0,1.0,1.0,1.0,2.0,4.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,17,972,1,1318.0
4.0,60.0,5.0,1.0,2133.0,5.0,5.0,2.0,1.0,4.0,4.0,1.0,3.0,1.0,4.0,1.0,2.0,18,373,1,11623.0
1.0,12.0,3.0,5.0,4169.0,2.0,1.0,4.0,1.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,19,610,1,3428.0
4.0,24.0,5.0,4.0,1216.0,2.0,2.0,4.0,1.0,4.0,4.0,1.0,2.0,2.0,3.0,2.0,1.0,20,503,1,2.0
2.0,15.0,3.0,1.0,1778.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,21,809,1,2.0
4.0,24.0,3.0,1.0,1371.0,5.0,3.0,4.0,1.0,4.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,22,775,1,3.0
1.0,12.0,5.0,1.0,1442.0,1.0,4.0,4.0,1.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,23,853,1,6.708203932499369
2.0,15.0,4.0,1.0,1264.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,24,979,1,2.0
2.0,12.0,3.0,3.0,1007.0,4.0,3.0,4.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,25,67,1,2.0
1.0,24.0,2.0,9.0,7685.0,1.0,4.0,2.0,3.0,4.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,26,375,1,24.0
1.0,36.0,5.0,3.0,2348.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,27,148,1,3023.0
1.0,12.0,3.0,7.0,4169.0,1.0,2.0,4.0,1.0,4.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,28,885,1,3374.0
2.0,30.0,3.0,9.0,4280.0,2.0,3.0,4.0,1.0,4.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,29,739,1,2.0
1.0,18.0,3.0,9.0,4308.0,1.0,2.0,3.0,1.0,4.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,30,11,1,30.0
1.0,12.0,3.0,4.0,727.0,2.0,2.0,4.0,1.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,31,307,1,2.0
1.0,24.0,3.0,3.0,2746.0,1.0,5.0,4.0,1.0,4.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,32,315,1,12.041594578792296
1.0,24.0,5.0,1.0,1207.0,1.0,2.0,4.0,1.0,4.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,33,504,1,2.0
